state,district,0-1,2-3,4-5,6-10,11-20,21-30,Above30,Total
Uttar Pradesh,Allahabad,51417,61473,50023,82823,73661,15851,1899,337147
Uttar Pradesh,Gorakhpur,63402,58408,28055,63964,45401,10051,1287,270568
Uttar Pradesh,Hardoi,52294,26377,27983,27454,25526,1385,227,161246
Uttar Pradesh,Chitrakoot,10422,8034,6545,5057,1472,48,7,31585
Uttar Pradesh,Meerut,115181,50144,29507,37515,19795,1949,304,254395
Uttar Pradesh,Bahraich,47700,61585,26283,21711,20628,4665,852,183424
Uttar Pradesh,Bareilly,70090,51868,38090,31820,25271,4530,642,222311
Uttar Pradesh,Ghaziabad,135473,52121,38487,46411,36841,4258,554,314145
Uttar Pradesh,Fatehpur,49274,21049,15446,20821,17112,3286,402,127390
Uttar Pradesh,Pilibhit,28683,17569,10060,14452,12787,1030,41,84622
Uttar Pradesh,Sitapur,65486,22566,25196,33009,38030,7055,639,191981
Uttar Pradesh,Auraiya,16263,10454,10269,11693,11044,932,0,60655
Uttar Pradesh,Budaun,47566,31622,19901,23113,17084,4167,518,143971
Uttar Pradesh,Lalitpur,17736,17079,9775,12054,7428,573,18,64663
Uttar Pradesh,Lucknow,118495,93549,79523,111153,47207,7965,1300,459192
Uttar Pradesh,Muzaffarnagar,34635,20389,21964,31969,24459,3032,124,136572
Uttar Pradesh,Varanasi,271316,42528,38619,51285,36893,1905,559,443105
Uttar Pradesh,Agra,169611,62136,59484,65890,23444,3466,588,384619
Uttar Pradesh,Lakhimpur,57247,47894,20441,27980,16732,2466,248,173008
Uttar Pradesh,Jaunpur,40935,39983,29809,39900,43399,11761,3378,209165
Uttar Pradesh,Ballia,21853,18564,20276,24867,30197,4764,1216,121737
Uttar Pradesh,Ghazipur,41307,27507,17301,32946,22977,6078,1556,149672
Uttar Pradesh,Firozabad,37884,24337,21295,35836,26721,1296,109,147478
Uttar Pradesh,Pratapgarh,38504,44707,17958,30349,25537,6411,1563,165029
Uttar Pradesh,Kushinagar,44907,29563,21852,32768,34528,7260,846,171724
Uttar Pradesh,Barabanki,33372,29011,21242,22952,19914,1598,214,128303
Uttar Pradesh,Mahoba,20723,10450,6419,3746,2083,21,1,43443
Uttar Pradesh,Banda,18433,28568,10829,10761,9222,1812,287,79912
Uttar Pradesh,Mau,24919,29240,12091,19505,22614,3999,166,112534
Uttar Pradesh,Aligarh,42647,31181,35464,52342,15424,2196,514,179768
Uttar Pradesh,Azamgarh,74329,29554,20513,31029,21417,4983,1201,183026
Uttar Pradesh,Baghpat,18917,19031,8038,9939,5842,514,110,62391
Uttar Pradesh,Bulandshahr,45406,31240,25592,36602,19647,2965,437,161889
Uttar Pradesh,Maharajganj,24761,19951,17082,22508,15193,4956,327,104778
Uttar Pradesh,Mathura,40016,44511,26457,26617,11890,2111,301,151903
Uttar Pradesh,Saharanpur,60589,30786,28401,29610,21574,4854,522,176336
Uttar Pradesh,Shahjahanpur,39185,37291,23554,24174,11330,1882,174,137590
Uttar Pradesh,Sultanpur,37155,41196,28784,51649,45490,8429,1729,214432
Uttar Pradesh,Unnao,33280,20560,15841,17705,13725,2589,199,103899
Uttar Pradesh,Farrukhabad,29482,23041,11853,16555,11418,2534,317,95200
Uttar Pradesh,Hathras,25255,29380,12040,13535,9240,1855,190,91495
Uttar Pradesh,Jhansi,27408,21110,18187,23127,14331,1551,62,105776
Uttar Pradesh,Balrampur,27605,21422,12004,11076,9389,2826,267,84589
Uttar Pradesh,Mirzapur,22109,25523,12816,18156,13240,3572,803,96219
Uttar Pradesh,Hapur,46781,13302,11255,14337,11704,1943,306,99628
Uttar Pradesh,Etawah,28171,14229,11184,14579,8957,1073,276,78469
Uttar Pradesh,Kaushambi,19931,13925,9650,12010,13956,153,10,69635
Uttar Pradesh,Deoria,27943,26056,24549,34080,37868,9380,1310,161186
Uttar Pradesh,Basti,24742,32834,15033,21334,23001,4579,1471,122994
Uttar Pradesh,Faizabad,22971,33637,35668,28582,23600,4406,830,149694
Uttar Pradesh,Raebareli,53856,32012,22897,32997,22658,2873,142,167435
Uttar Pradesh,Rampur,25245,30899,13174,14320,8591,1020,89,93338
Uttar Pradesh,Siddharthnagar,42989,31917,12466,21900,18189,4619,694,132774
Uttar Pradesh,Sonbhadra,16249,17332,10441,12196,11456,1614,390,69678
Uttar Pradesh,Hamirpur,16271,11149,8760,10292,8572,1840,300,57184
Uttar Pradesh,Jalaun,18220,15702,11809,11771,10309,2196,194,70201
Uttar Pradesh,Chandauli,39242,15532,10896,13772,13558,4323,588,97911
